n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
905,910,642,798,514,715,536,430,519,312,968,157.82,29.51,31.399999999999984
116,149,436,913,579,432,945,86,958,107,425,173.07,33.63,34.24
64,101,425,792,159,751,977,31,810,457,441,186.33,38.71,37.71999999999999
702,427,30,508,941,884,985,332,739,258,80,181.6,36.82,37.28
360,72,124,367,708,30,353,356,182,10,850,205.27,56.52,63.51999999999997
997,236,838,374,72,610,914,146,212,3,209,193.27,70.39,74.48000000000006
674,689,749,960,922,126,765,7,300,377,706,194.25,45.82,47.519999999999996
25,955,619,238,879,145,191,464,115,488,352,172.84,29.0,29.160000000000004
724,982,264,133,28,989,213,370,343,484,983,188.21,42.38,44.31999999999998
299,303,959,899,981,566,651,334,188,607,82,165.7,30.93,31.95999999999999
105,546,594,315,160,385,919,150,968,128,823,184.38,31.26,32.96
228,323,520,248,242,772,188,298,381,429,679,174.99,36.14,36.23999999999999
47,881,135,615,21,403,79,719,74,135,430,195.79,42.84,47.08000000000001
306,563,426,758,948,145,605,432,305,652,363,175.42,28.0,29.24
86,254,455,647,378,652,971,541,59,385,418,173.55,31.19,33.91999999999999
8,427,985,745,922,328,451,208,380,300,975,185.96,36.8,38.32000000000001
