n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
120,195,303,845,706,748,329,960,554,509,963,42,973,313,819,736,821,402,167,204.88,55.3,58.399999999999984
142,384,632,474,359,364,5,457,714,139,458,30,761,802,944,749,733,428,216,205.1,61.62,65.75999999999999
117,338,302,611,571,55,916,80,493,165,997,691,539,62,185,855,629,246,614,209.35,53.16,55.88
340,613,20,742,676,23,391,447,236,819,599,141,636,43,137,187,619,292,239,217.41,68.42,72.75999999999999
445,757,321,553,649,380,174,747,353,950,691,856,557,675,981,586,958,353,264,197.97,47.19,50.99999999999999
611,343,988,550,32,557,155,374,584,883,873,201,506,482,848,122,75,904,642,197.34,56.19,58.0
609,200,162,146,564,728,143,611,858,52,551,839,354,895,961,82,726,964,48,216.29,54.03,54.60000000000001
803,856,619,152,556,180,269,639,58,302,486,903,886,287,214,658,483,778,289,205.91,56.75,63.63999999999997
542,707,771,982,63,909,143,294,940,426,46,2,354,542,617,874,939,865,368,207.57,52.64,54.32000000000001
73,205,443,693,81,819,434,807,934,33,290,203,866,693,978,200,838,176,206,204.16,60.71,68.88
732,940,764,945,82,95,10,909,3,978,298,532,530,537,434,66,94,535,655,216.13,94.65,99.76000000000006
346,683,172,645,204,522,708,562,63,706,63,66,142,446,987,138,912,106,988,204.72,47.92,54.919999999999995
780,529,332,525,347,680,283,136,601,599,121,593,656,638,72,616,978,5,160,214.35,65.87,67.99999999999999
44,786,278,558,659,435,792,311,607,367,986,777,156,537,371,549,467,253,639,211.08,54.44,58.99999999999998
463,174,494,667,594,557,26,594,571,583,990,198,267,980,601,700,587,743,612,213.3,56.05,64.47999999999999
977,713,462,966,340,165,311,164,323,980,307,870,323,722,214,546,495,632,299,204.35,50.5,58.39999999999999
275,377,881,679,169,322,99,884,238,816,918,336,652,854,198,180,451,98,998,198.75,52.13,51.72
317,33,533,5,47,887,965,2,897,670,700,569,182,228,939,251,381,990,660,215.27,72.9,80.75999999999996
402,395,247,647,452,971,749,442,297,519,91,351,809,44,98,189,56,416,4,219.42,70.75,80.55999999999999
401,167,444,700,754,45,571,227,998,382,351,520,357,899,698,135,0,354,372,214.34,70.0,71.55999999999999
98,777,387,586,219,501,360,959,587,443,566,748,93,401,161,88,459,396,537,209.83,60.55,67.07999999999997
215,769,27,94,292,102,129,130,467,448,755,357,776,923,904,416,325,410,685,210.2,67.75,71.24
316,910,803,405,918,935,745,105,817,942,348,902,384,521,850,78,727,499,445,200.59,49.99,52.27999999999999
734,376,899,232,589,875,636,167,946,438,291,126,343,547,36,532,898,795,644,214.95,50.78,52.88
833,688,700,243,628,188,793,490,236,898,530,363,945,432,450,427,544,864,682,208.69,54.23,59.36
126,506,886,964,12,859,715,441,781,366,480,903,759,767,287,201,144,341,368,212.08,61.92,65.08000000000001
156,271,554,734,971,577,937,676,998,999,495,791,614,810,139,993,501,951,394,197.61,43.18,43.680000000000014
759,488,356,636,520,839,773,968,805,997,921,32,760,816,684,445,260,606,636,202.79,50.52,54.360000000000014
710,191,904,662,548,180,866,18,470,978,702,890,585,312,135,46,2,838,238,217.32,66.9,69.87999999999998
789,348,158,322,836,335,858,460,588,236,280,813,57,684,64,36,451,113,738,219.93,63.13,65.2
754,653,248,230,484,817,548,64,557,628,167,178,200,5,874,198,525,814,195,215.7,64.97,66.72
225,978,14,513,494,334,357,271,587,415,591,134,724,772,937,939,346,675,650,213.63,65.19,70.75999999999998
716,121,631,257,270,98,58,882,345,922,727,57,898,798,393,70,211,729,254,212.22,57.57,60.91999999999997
51,501,750,396,375,71,964,870,776,654,734,892,86,865,150,742,927,843,456,200.19,53.0,53.88
720,750,438,525,838,384,939,714,110,174,147,35,173,645,466,545,885,947,539,203.68,52.99,52.160000000000004
483,875,451,375,969,579,443,252,875,655,256,276,584,7,273,407,706,577,340,203.83,60.64,66.24
902,717,293,804,948,721,831,122,161,525,797,192,957,954,985,165,708,793,399,196.07,53.52,57.55999999999999
677,556,132,666,188,627,826,193,575,905,73,553,760,73,830,313,31,82,517,204.17,54.42,66.59999999999998
471,690,96,662,542,7,285,270,847,201,787,778,192,119,830,261,596,408,276,206.5,69.15,77.67999999999998
540,933,278,6,104,408,371,613,828,166,753,503,615,905,740,351,974,725,766,205.51,65.24,68.67999999999999
194,869,998,502,987,250,168,969,782,172,341,750,32,954,215,193,746,551,476,213.06,57.31,58.519999999999996
964,542,330,130,624,175,833,373,592,526,440,840,760,460,373,335,935,706,778,199.76,44.81,47.400000000000006
