n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
749,420,461,629,770,141,659,890,293,497,50,933,949,563,130,174,483,424,351,288,304,196.97,51.21,52.00000000000001
261,756,756,999,668,266,415,671,244,308,494,570,684,403,122,171,658,165,76,212,512,207.13,56.78,62.51999999999999
927,831,509,563,225,463,928,340,777,460,437,142,560,197,249,92,178,350,569,93,326,215.42,60.11,62.79999999999999
244,377,264,828,583,206,908,20,767,891,422,392,423,763,536,215,385,276,346,770,63,216.31,66.95,71.35999999999999
510,284,588,990,368,128,703,515,541,644,809,883,868,221,94,277,918,254,393,409,661,210.53,60.63,62.400000000000006
456,442,976,319,869,833,893,991,22,130,33,435,726,782,917,823,484,991,601,501,0,220.59,77.35,84.67999999999998
74,400,952,949,950,845,540,875,479,995,459,254,801,111,229,158,155,534,995,698,111,202.19,59.88,76.07999999999996
964,845,739,717,662,866,783,916,468,87,564,795,40,1,801,128,238,583,941,38,660,205.34,58.22,60.63999999999999
732,311,985,131,641,257,540,651,447,715,782,114,101,72,307,537,966,596,196,397,267,198.66,62.8,67.31999999999998
228,809,615,1,10,550,308,471,285,981,323,660,859,904,248,486,538,240,560,252,29,208.43,68.48,75.59999999999998
983,421,721,665,314,56,22,198,510,906,690,662,430,83,263,233,683,434,947,379,232,217.26,63.24,64.68
504,34,712,346,735,430,371,698,405,202,6,816,299,756,865,516,69,210,507,993,205,220.72,77.63,82.47999999999999
319,784,839,198,236,476,226,271,778,910,302,111,974,638,507,624,191,917,228,496,427,200.13,55.69,57.199999999999996
932,681,57,971,609,149,944,402,55,218,24,997,610,145,425,53,726,61,188,402,460,222.0,63.45,66.83999999999999
919,729,904,321,750,115,81,953,169,337,195,189,668,958,537,764,478,32,319,680,742,210.38,56.88,58.19999999999999
387,859,382,339,453,173,111,2,80,286,82,359,430,978,906,126,574,987,777,212,389,215.65,73.02,76.67999999999999
365,787,841,316,841,823,442,89,50,722,484,200,381,554,941,457,197,331,372,755,918,211.24,63.52,68.15999999999998
485,31,646,420,253,831,640,785,414,41,384,35,475,64,822,942,63,263,199,765,64,214.25,66.87,74.16000000000001
920,620,347,371,278,343,980,976,631,44,268,764,733,706,324,946,282,304,3,738,773,213.51,89.13,92.60000000000007
609,938,824,649,969,965,66,24,845,239,109,486,732,979,476,976,794,395,808,257,935,218.08,61.3,65.59999999999998
440,834,505,135,950,508,187,8,821,953,756,310,842,708,791,154,621,241,335,881,327,211.33,63.48,67.47999999999999
471,370,802,801,610,80,524,202,401,770,163,253,417,66,665,34,493,565,557,333,164,215.59,60.45,64.12000000000002
436,904,107,73,271,639,86,213,98,431,510,726,995,457,177,239,136,426,471,635,912,208.65,62.26,66.63999999999997
690,240,765,551,867,792,680,777,124,798,861,300,300,286,580,274,381,260,755,266,203,206.72,60.06,64.47999999999998
449,253,190,251,241,157,288,905,929,592,192,334,66,405,257,251,519,538,236,665,827,205.18,63.2,72.15999999999995
102,669,475,37,104,4,486,904,838,236,860,459,936,382,41,897,300,238,122,51,194,213.79,78.67,83.88
614,996,847,597,198,952,76,381,524,886,182,459,617,266,793,796,680,968,6,108,652,219.29,72.54,75.75999999999999
610,726,634,358,222,38,377,348,144,45,208,261,39,613,749,667,935,208,834,11,838,213.66,70.19,77.03999999999999
335,418,694,380,189,635,319,79,208,32,814,507,561,495,64,417,103,814,404,679,563,205.48,65.97,72.39999999999999
158,654,546,93,668,167,407,712,277,419,290,683,314,427,976,52,319,763,580,904,365,217.69,71.59,73.83999999999999
424,426,18,884,785,821,372,659,201,400,745,414,208,964,6,444,923,160,433,116,840,215.87,78.45,82.48000000000002
92,415,591,904,373,471,791,166,133,15,52,564,145,656,825,931,406,91,586,637,949,221.33,64.11,67.11999999999998
379,754,516,175,149,356,290,165,533,175,947,68,111,392,502,771,824,811,990,824,202,198.7,54.36,63.16000000000001
308,129,857,965,44,998,934,494,322,54,622,948,651,397,88,925,729,635,704,844,912,216.8,62.67,64.56
164,655,804,877,227,635,414,629,866,200,849,484,187,578,223,42,409,961,530,160,392,220.35,58.86,62.160000000000004
367,126,153,252,993,742,835,918,197,42,905,575,862,775,688,39,683,858,331,120,399,211.55,65.82,68.95999999999998
613,466,563,869,642,796,313,664,430,315,596,255,435,398,674,376,457,515,448,183,23,214.64,62.99,66.91999999999999
3,633,501,476,240,457,781,633,798,838,469,856,183,829,484,409,109,68,131,367,440,205.38,83.6,89.68000000000008
374,93,821,452,516,522,672,41,41,651,133,84,944,751,321,796,737,523,81,55,770,216.46,66.39,79.92
516,916,386,668,973,803,139,26,877,67,628,749,709,834,112,198,134,906,503,294,979,223.44,64.09,71.52
830,938,814,169,702,807,738,952,226,67,853,359,625,774,258,162,331,918,628,281,926,204.99,55.9,58.95999999999999
835,467,147,260,514,987,941,491,213,606,269,630,518,243,326,381,37,203,186,413,165,214.78,67.78,71.71999999999998
651,958,284,695,335,916,385,172,811,803,270,117,786,543,49,651,878,368,989,893,463,203.05,59.59,66.35999999999999
568,533,593,705,903,917,107,258,548,644,877,403,755,816,380,271,384,377,591,149,368,208.97,51.31,55.0
338,782,83,452,235,180,630,761,980,49,303,839,528,259,317,654,989,891,599,950,679,217.97,64.3,70.87999999999997
917,320,750,1,765,34,226,152,297,630,640,442,427,524,372,917,48,135,500,232,627,213.11,57.05,62.64000000000002
