n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,monte_carlo,monte_carlo_max_hop,two_hop
12,109,269,812,984,138,572,121,31,408,263,500,217,71,745,201.81,60.75,71.75999999999998
282,782,179,911,138,157,101,875,24,812,222,609,335,913,429,192.2,46.13,52.51999999999998
920,711,486,626,586,499,462,330,987,629,464,197,819,181,544,179.39,36.17,35.64
115,226,685,841,142,400,228,601,360,476,577,788,663,281,606,195.74,35.21,35.04
858,610,875,197,583,934,231,754,27,416,249,406,590,766,122,196.45,46.43,48.72
940,659,35,924,322,372,822,510,660,259,931,446,385,310,369,187.04,37.6,38.16
537,729,601,381,597,926,58,421,654,603,184,312,296,603,680,188.56,41.32,45.31999999999999
483,246,106,471,910,589,164,375,589,438,693,985,479,819,335,176.66,36.63,38.8
73,464,443,497,12,878,906,111,621,66,492,444,653,60,655,200.28,59.15,64.99999999999997
26,850,749,999,845,527,539,359,371,164,932,183,491,544,72,187.19,51.26,54.51999999999999
415,600,613,117,30,355,836,666,238,627,752,549,257,849,945,193.05,44.76,47.760000000000005
623,534,993,896,830,945,270,851,800,395,369,727,967,3,634,199.49,71.07,73.52000000000005
352,428,307,179,505,868,804,361,38,16,555,822,209,6,793,212.74,62.84,68.11999999999999
45,841,31,486,660,105,575,425,495,334,957,897,481,207,210,191.35,48.68,51.43999999999998
383,147,112,216,50,956,228,888,999,275,427,225,365,486,378,199.18,43.95,43.39999999999999
153,379,710,773,909,653,742,286,860,194,760,835,924,575,56,199.33,41.32,42.440000000000005
513,204,205,410,999,937,541,954,940,47,690,435,654,981,24,189.52,43.33,44.56
942,936,966,875,654,78,749,83,121,691,621,683,809,197,517,178.01,36.8,36.36
775,101,530,582,582,493,996,338,905,684,190,451,215,785,876,184.18,40.04,44.68
789,991,9,225,334,219,555,580,303,153,614,7,29,299,107,212.68,73.51,76.87999999999998
414,524,901,220,680,212,746,422,570,608,556,669,769,612,946,188.3,42.81,44.19999999999998
510,91,443,887,890,608,884,552,919,174,965,141,687,621,204,189.31,42.63,43.199999999999996
645,718,869,289,431,307,713,410,674,33,992,448,220,201,304,194.59,41.62,46.47999999999998
238,755,441,371,773,48,667,939,322,371,740,366,415,441,366,173.01,32.51,40.24
542,418,855,292,801,157,619,991,668,610,263,671,202,624,477,193.23,42.78,49.19999999999998
513,177,644,565,7,153,66,229,547,261,475,618,12,991,216,202.71,70.74,75.47999999999999
558,312,59,990,885,856,575,40,501,398,127,358,331,140,889,204.69,43.94,46.32000000000001
297,552,3,939,596,276,813,799,882,133,275,647,328,88,760,206.02,75.47,78.04000000000008
657,542,612,358,122,592,622,933,0,248,313,639,213,214,70,188.98,55.61,62.71999999999998
441,920,27,629,361,811,323,930,206,946,877,590,772,417,391,198.34,49.38,52.59999999999999
809,576,762,849,55,60,190,671,573,873,620,240,536,973,254,192.3,42.71,47.27999999999998
