n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
330,336,891,352,711,710,137,82,878,859,615,793,949,34,733,81,757,193.21,44.15,45.36000000000001
351,826,210,954,64,882,204,447,715,775,226,496,323,111,805,43,418,194.21,54.18,60.479999999999976
79,865,205,722,164,400,509,484,716,69,550,872,432,213,664,500,311,206.04,50.12,54.200000000000024
23,475,468,775,707,411,448,184,466,920,38,736,262,375,869,379,458,200.99,53.95,58.35999999999999
542,370,610,411,229,993,2,823,214,264,801,378,146,875,471,546,199,195.05,49.76,52.87999999999998
162,214,22,174,598,413,515,172,651,28,142,112,623,172,453,502,189,209.91,59.79,68.35999999999999
61,861,22,412,458,325,417,33,720,731,52,244,412,40,406,505,27,208.26,63.45,68.99999999999999
930,988,904,224,247,96,398,485,195,168,340,637,118,354,934,126,608,200.91,55.4,61.839999999999975
53,826,745,297,281,806,964,476,808,955,984,307,500,255,574,272,30,204.68,46.07,45.440000000000005
834,345,644,353,324,95,58,698,445,992,91,606,632,3,107,31,697,205.88,85.05,91.68000000000005
92,19,174,515,37,493,55,193,670,521,921,339,205,921,997,775,488,203.09,47.75,50.12000000000002
348,822,490,939,359,962,674,35,391,312,769,621,646,969,403,89,970,188.98,42.55,43.03999999999999
300,188,870,422,117,519,399,560,342,549,696,797,950,412,178,857,757,196.1,41.0,40.68
885,751,395,855,960,566,367,945,188,371,820,424,448,234,455,798,719,185.67,44.13,45.359999999999985
492,353,275,840,173,519,737,770,620,937,727,713,396,972,498,43,157,204.45,52.4,54.47999999999999
175,727,769,23,842,478,94,776,708,693,676,99,327,242,615,863,820,207.03,53.21,55.88
657,57,899,626,893,49,460,477,918,889,750,662,341,378,1,73,199,215.87,53.19,57.43999999999999
408,805,978,937,107,346,582,318,112,461,82,841,664,215,246,704,49,207.18,59.09,63.31999999999999
156,957,660,146,599,11,114,235,294,990,213,225,871,575,527,429,517,212.55,56.04,58.079999999999984
799,928,618,326,807,904,548,800,192,478,181,637,81,42,845,825,115,208.81,54.35,61.95999999999998
612,24,879,989,103,204,965,914,261,87,111,476,408,228,845,849,696,216.04,59.05,66.03999999999996
630,111,657,497,779,684,892,716,354,412,617,676,456,796,113,298,855,195.01,42.44,46.23999999999999
967,608,454,834,388,210,119,552,7,475,306,745,658,79,349,354,196,211.1,66.78,73.23999999999997
496,771,73,946,565,702,752,373,433,802,663,68,620,531,219,255,358,198.31,48.46,49.39999999999999
858,63,343,241,441,449,86,256,223,330,169,767,953,211,743,223,895,191.78,42.64,47.92000000000001
896,752,626,474,953,728,548,873,428,376,970,195,924,638,972,419,495,166.08,36.15,36.0
915,792,416,480,601,942,35,299,980,956,18,189,913,98,28,739,154,204.61,61.52,66.87999999999998
301,515,531,62,654,483,41,199,763,212,282,503,442,38,353,479,759,198.95,62.45,71.23999999999998
201,764,800,294,146,105,454,306,930,420,454,79,210,156,499,781,829,204.75,48.57,51.919999999999995
717,291,999,384,825,897,649,381,965,165,441,319,962,474,485,538,555,188.32,41.5,41.959999999999994
227,368,979,873,295,292,30,474,382,908,367,826,850,304,765,248,952,206.45,54.65,57.79999999999999
826,532,10,14,134,644,543,152,548,21,169,972,51,1,208,788,812,213.79,78.9,81.79999999999998
476,363,988,804,371,565,35,501,189,244,13,283,442,926,346,855,52,205.96,51.85,53.320000000000014
617,559,830,96,460,319,268,253,688,821,510,428,740,266,347,45,30,194.43,56.49,55.599999999999994
439,38,642,691,169,934,779,827,577,253,976,138,761,776,861,808,422,196.27,42.87,44.36000000000001
521,768,850,345,565,136,286,17,172,46,17,497,658,61,918,835,927,207.81,56.74,70.64
