n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
3,209,674,689,749,960,922,126,765,7,300,377,706,200.97,86.55,89.08000000000008
25,955,619,238,879,145,191,464,115,488,352,724,982,170.47,31.48,32.88
264,133,28,989,213,370,343,484,983,299,303,959,899,183.71,47.77,52.51999999999997
981,566,651,334,188,607,82,105,546,594,315,160,385,181.62,39.79,39.199999999999996
919,150,968,128,823,228,323,520,248,242,772,188,298,197.49,37.89,39.6
381,429,679,47,881,135,615,21,403,79,719,74,135,204.91,49.43,55.080000000000005
430,306,563,426,758,948,145,605,432,305,652,363,86,179.13,34.75,33.44
254,455,647,378,652,971,541,59,385,418,8,427,985,185.51,42.95,47.51999999999999
745,922,328,451,208,380,300,975,482,93,973,189,815,191.52,41.23,43.119999999999976
111,283,114,571,620,704,157,814,719,456,950,408,189,184.82,39.43,43.39999999999998
786,431,442,178,253,982,464,348,959,535,145,363,473,192.7,39.91,42.36
646,652,88,494,773,208,301,1,850,715,459,633,473,189.41,37.97,37.44000000000001
7,223,305,117,787,644,308,558,623,159,434,723,769,194.42,50.94,53.71999999999999
482,94,694,509,778,983,237,556,780,415,286,647,22,195.81,40.74,43.03999999999999
123,276,904,684,41,0,262,407,538,911,595,727,405,203.74,61.55,72.03999999999995
455,104,764,258,362,290,892,773,688,930,200,609,87,195.52,44.04,45.599999999999994
36,72,811,268,312,546,348,121,542,880,255,912,942,183.13,40.37,41.96
780,167,69,424,881,296,289,532,137,587,535,642,215,192.35,42.2,43.760000000000005
544,107,420,978,649,556,413,759,797,925,807,285,299,172.19,31.94,33.0
452,380,581,643,141,160,126,713,123,390,410,605,479,188.39,43.53,44.279999999999994
142,573,684,306,362,647,484,760,425,223,488,500,711,172.37,37.87,38.96
513,325,504,667,981,61,454,307,146,763,507,53,908,193.11,41.11,45.559999999999995
636,220,26,363,482,400,909,10,866,539,68,703,887,195.95,53.47,55.679999999999986
83,702,972,759,946,685,404,6,369,42,118,635,3,203.06,84.07,90.00000000000006
